Date,Product,Category,Region,Sales_Rep,Units_Sold,Price,Revenue,Cost
2024-10-16,Laptop,Electronics,N. America,Rep_9  ,7,816.89,5718.23,3745.61
2023-09-08,Tablet,Electronics,Europe,Rep_4,8,638.79,5110.32,3305.38
2024-11-23,Router,Accessories,NA,Rep_19,19,189.98,3609.62,2663.09
2024-03-08,Laptop,Electronics,NorthAmerica,Rep_3,4,228.58,914.32,727.13
2023-08-12,Tablet,Electronics,NA,Rep_18,2,749.8,1499.6,1322.0
2023-07-23,Router,Accessories,South America,Rep_8,2,263.64,527.28,345.38
2024-04-04, Printer ,Accessories,Asia,Rep_1,12,650.49,7805.88,4700.08
2023-06-13,Router,Accessories,South America,Rep_11,17,572.3,9729.1,7004.55
2023-10-12,Tablet,Electronics,Europe,Rep_11,16,309.49,4951.84,3105.7
2023-04-15,Laptop,Electronics,South America,Rep_4,19,444.22,8440.18,7553.7
2024-01-03,Smartphone,Electronics,Asia,Rep_2,3,873.95,2621.85,2108.21
2024-04-15,Printer,Accessories,NorthAmerica,Rep_13,9,158.55,1426.95,1262.37
2023-03-22,Printer,Accessories,Asia,Rep_20,14,827.56,11585.84,8010.27
2024-01-06,Printer,Accessories,Europe,Rep_3,2,715.81,1431.62,1048.01
2023-02-16,Router,Accessories,Europe,Rep_10,7,649.0,4543.0,3861.36
2023-03-23, Tablet ,Electronics,NA,Rep_13  ,3,918.39,2755.17,1867.0
2023-10-12, Monitor ,Accessories,Asia,Rep_6,8,779.83,6238.64,4538.9
2024-01-15,Smartphone,Electronics,Europe,Rep_9,10,610.93,6109.3,3722.97
2024-12-19,Router,Accessories,NorthAmerica,Rep_20,18,797.62,14357.16,12660.86
2024-10-12,Tablet,Electronics,Europe,Rep_6,4,,2552.44,2237.37
2024-04-18,Monitor,Accessories,Asia,Rep_18,8,613.4,4907.2,3711.07
2023-08-13,Router,Accessories,Asia,Rep_2,8,860.08,6880.64,5671.0
2023-08-23,Laptop,Electronics,Asia,Rep_13,15,845.86,12687.9,8970.68
